"Case_pseudonym","ES","Est","SE","CI_lower","CI_upper","baseline_SD"
"Period 1","Tau",1,0.0880201310032494,1,1,
"Period 1","LRRd",-0.807064041489947,0.197751379433715,-1.19464962307314,-0.419478459906752,
"Period 1","Pct_Change_d",-55.3833929768583,,-69.71899667539,-34.2610414550027,
"Period 1","SMD",2.75482985936181,0.943298507772082,0.905998757458149,4.60366096126546,1.62574085675834
"Period 1","Tau-BC",1,0.0880201310032494,1,1,
"Period 2","Tau",0.542857142857143,0.307723703264829,-0.138935869637678,0.864488762581805,
"Period 2","LRRd",-0.609610907429821,0.348584186028897,-1.29282335762667,0.0736015427670267,
"Period 2","Pct_Change_d",-45.6437676004241,,-72.5505308667251,7.63778295060238,
"Period 2","SMD",1.21081658303398,0.65007651090267,-0.0633099655307139,2.48494313159867,5.5767795366143
"Period 2","Tau-BC",0.828571428571429,0.171428571428571,0.147728375546783,0.972957025301204,
"Period 3","Tau",0.833333333333333,0.166666666666667,0.135264725181069,0.974908926228292,
"Period 3","LRRd",-0.747838674292803,0.353485484390635,-1.44065749275614,-0.0550198558294636,
"Period 3","Pct_Change_d",-52.6611405200296,,-76.3227968402616,-5.35336451076271,
"Period 3","SMD",2.88529784546085,1.08276354396584,0.763120295514846,5.00747539540685,2.33017941607746
"Period 3","Tau-BC",0.777777777777778,0.222222222222222,0.0744119113041006,0.959001047901096,
